STT,Hoạt chất 1,Hoạt chất 2,Cơ chế,Hậu quả,Xử trí
238,Darunavir/ritonavir,Methylergometrin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của methylergometrin,"Tăng nồng độ của methylergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)","Tốt nhất nên tránh phối hợp. Đối với trường hợp điều trị băng huyết sau sinh, nếu không còn thuốc khác thay thế ở người bệnh đang sử dụng darunavir, sử dụng methylergometrin chỉ khi lợi ích vượt trội nguy cơ và sử dụng liều thấp nhất có hiệu quả trong thời gian ngắn nhất."
239,Darunavir/ritonavir,Ivabradin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ivabradin,"Tăng nồng độ ivabradin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT và chậm nhịp tim",Chống chỉ định phối hợp
240,Darunavir/ritonavir,Ticagrelor,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ticagrelor,"Tăng nồng độ của ticagrelor trong huyết thanh, tăng nguy cơ xuất huyết",Chống chỉ định phối hợp
241,Darunavir/ritonavir,Ranolazin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ranolazin,"Tăng nồng độ ranolazin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Chống chỉ định phối hợp
242,Darunavir/ritonavir,Tolvaptan,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của tolvaptan,"Tăng nồng độ tolvaptan trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (tăng nồng độ natri huyết thanh, đa niệu, khát nước, giảm thể tích tuần hoàn...)",Chống chỉ định phối hợp
243,Darunavir/ritonavir,Felodipin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của felodipin,"Tăng nồng độ felodipin, tăng nguy cơ hạ huyết áp nghiêm trọng",Chống chỉ định phối hợp
244,Darunavir/ritonavir,Lercanidipin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của lercanidipin,"Tăng nồng độ lercanidipin, tăng nguy cơ hạ huyết áp nghiêm trọng",Chống chỉ định phối hợp
245,Darunavir/ritonavir,Sildenafil,Darunavir/ritonavir ức chế CYP3A4 làm giảm chuyển hóa của sildenafil,"Tăng nồng độ sildenafil trong huyết thanh, tăng nguy cơ độc tính (hạ huyết áp, ngất, rối loạn thị giác)","1. Chống chỉ định phối hợp trong trường hợp sử dụng sildenafil điều trị tăng áp động mạch phổi. 2. Trong trường hợp sử dụng sildenafil điều trị rối loạn cương dương, liều sildenafil không vượt quá 25 mg mỗi 48 giờ ở người đang sử dụng darunavir."
246,Darunavir/ritonavir,Quetiapin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của quetiapin,"Tăng nồng độ của quetiapin, tăng nguy cơ kéo dài khoảng QT","Tốt nhất nên tránh phối hợp. Trong trường hợp bắt buộc sử dụng darunavir, giảm liều quetiapin còn 1/6 liều so với liều bình thường."
247,Darunavir/ritonavir,Rifampicin,Rifampicin cảm ứng CYP3A4 làm tăng chuyển hóa của Darunavir/ritonavir,"Giảm nồng độ darunavir trong huyết thanh, giảm hiệu quả điều trị",Chống chỉ định phối hợp
248,Darunavir/ritonavir,Grazoprevir/ elbasvir,Darunavir/ritonavir ức chế OATP1B1/3 làm giảm vận chuyển grazoprevir vào gan.,"Tăng nồng độ grazoprevir/elbasvir, tăng nguy cơ tăng ALT",Chống chỉ định phối hợp
249,Darunavir/ritonavir,Domperidon,Darunavir/ritonavir ức chế CYP3A4 làm giảm chuyển hóa của domperidon,"Tăng nồng độ domperidon trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Chống chỉ định phối hợp
250,Darunavir/ritonavir (ritonavir),Vardenafil,Ritonavir ức chế CYP3A4 làm giảm chuyển hóa của vardenafil,"Tăng nồng độ vardenafil trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Chống chỉ định phối hợp
251,Darunavir/ritonavir (ritonavir),Propafenon,Ritonavir ức chế chuyển hóa của propafenon qua CYP3A4 và CYP2D6.,"Tăng nồng độ, dẫn đến tăng độc tính của propafenon (đặc biệt là loạn nhịp tim).",Chống chỉ định phối hợp.
252,Darunavir/ritonavir (ritonavir),Everolimus,"Ritonavir ức chế mạnh CP3A4 làm giảm chuyển hóa của everolimus ở gan, đồng thời, ức chế P-gp làm giảm thải trừ everolimus khỏi cơ thể.","Tăng nồng độ everolimus trong huyết thanh, tăng tác dụng bất lợi liên quan đến ức chế miễn dịch",Chống chỉ định phối hợp
253,Darunavir/ritonavir (ritonavir),Voriconazol,Ritonavir cảm ứng CYP2C19 (hoặc ức chế CYP3A4 ở người thiếu hoặc giảm hoạt tính CYP2C19) làm tăng (hoặc giảm) chuyển hóa của voriconazol tùy thuộc từng cá thể (voriconazol là cơ chất của cả CYP3A4 và CYP2C19),Giảm (hoặc tăng) nồng độ voriconazol.,"1. Việc phối hợp voriconazol và ritonavir liều cao (400mg mỗi 12 giờ) làm giảm rõ rệt nồng độ voriconazol, vì vậy, chống chỉ định phối hợp voriconazol với ritonavir ở mức liều này. 2. Việc phối hợp voriconazol với ritonavir liều thấp (100mg mỗi 12 giờ) cũng đã cho thấy làm giảm nồng độ voriconazol mặc dù mức độ ít hơn so với liều cao ritonavir, vì vậy, nên tránh phối hợp thuốc trừ khi lợi ích vượt trội nguy cơ."
254,Delamanid,Rifampicin,Rifampicin cảm ứng CYP3A4 làm tăng chuyển hóa của delamanid,"Giảm nồng độ của delamanid trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
255,Delamanid,Enzalutamid,Enzalutamid cảm ứng CYP3A4 làm tăng chuyển hóa của delamanid,"Giảm nồng độ của delamanid trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
256,Delamanid,Phenytoin,Phenytoin cảm ứng CYP3A4 mạnh làm tăng chuyển hóa của delamanid,"Giảm nồng độ của delamanid trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
257,Dexamethason,Rilpivirin,Dexamethason cảm ứng CYP3A4 mạnh làm tăng chuyển hóa của rilpivirin,"Giảm nồng độ của rilpivirin trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
258,Dexibuprofen,Ketorolac,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
259,Dexketoprofen,Ketorolac,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
260,Dexlansoprazol,Rilpivirin,Giảm hấp thu rilpivirin do tăng pH dạ dày,"Giảm nồng độ rilpivirin trong huyết thanh, giảm hiệu quả điều trị","Chống chỉ định phối hợp. Trong trường hợp thay thế bằng thuốc kháng H2, sử dụng các thuốc H2 ít nhất 12 giờ trước hoặc 4 giờ sau khi uống rilpivirin."
261,Dextromethorphan,Linezolid,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và dextromethorphan. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. Trong trường hợp bắt buộc sử dụng opioid, có thể đổi sang các opiod khác không có hoạt tính ức chế thu hồi serotonin (codein) 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
262,Dextromethorphan,Xanh methylen (sử dụng đường tiêm tĩnh mạch),Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời xanh methylen và dextromethorphan. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. Trong trường hợp bắt buộc sử dụng opioid, có thể đổi sang các opiod khác không có hoạt tính ức chế thu hồi serotonin (codein) 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng xanh methylen và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
263,Dextromethorphan,Paroxetin,Paroxetin ức chế CYP2D6 làm giảm chuyển hóa của dextromethorpha n,"Tăng nồng độ dextromethorphan, tăng nguy cơ độc tính (nôn, buồn nôn, nhìn mờ, ảo giác) hoặc tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)",Chống chỉ định phối hợp
264,Dextromethorphan,Fluoxetin,Fluoxetin ức chế CYP2D6 làm giảm chuyển hóa của dextromethorpha n,"Tăng nồng độ dextromethorphan, tăng nguy cơ độc tính (nôn, buồn nôn, nhìn mờ, ảo giác) hoặc tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)",Chống chỉ định phối hợp
265,Dextromethorphan,Furazolidon,"Hiệp đồng tác dụng serotonin. Tác dụng ức chế MAO của furazolidon do chất chuyển hóa của thuốc, xuất hiện chậm sau 5 - 10 ngày.","Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời furazolidon và dextromethorphan. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. Trong trường hợp bắt buộc sử dụng opioid, có thể đổi sang các opiod khác không có hoạt tính ức chế thu hồi serotonin (codein) 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng furazolidon và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
266,Diclofenac,Ketorolac,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
267,Dicycloverin,Kali clorid (dạng thuốc viên sử dụng đường uống),"Dicycloverin kháng cholinergic gây tồn lưu hoặc làm tăng thời gian kali qua đường tiêu hóa khi sử dụng đường uống, gây loét đường tiêu hóa",Tăng nguy cơ loét đường tiêu hóa,"1. Tốt nhất nên tránh phối hợp, đặc biệt ở người cao tuổi. Cân nhắc chuyển sang sử dụng kali đường tĩnh mạch. 2. Trong trường hợp bắt buộc sử dụng đồng thời, cân nhắc một số khuyến cáo sau giúp giảm nguy cơ loét tiêu hóa: (1) uống ít nhất 100 mL nước sau khi uống kali, (2) ngồi hoặc đứng thẳng trong ít nhất 5 - 10 phút sau khi uống thuốc."
268,Dihydroergotamin,Sumatriptan,Hiệp đồng tác dụng co mạch,Co thắt mạch kéo dài,Chống chỉ định phối hợp. Hai thuốc cách nhau ít nhất 24 giờ.
269,Dihydroergotamin,Roxithromycin,Roxithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Chống chỉ định phối hợp
270,Dihydroergotamin,Erythromycin,Erythromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Chống chỉ định phối hợp
271,Dihydroergotamin,Voriconazol,Voriconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Chống chỉ định phối hợp
272,Dihydroergotamin,Posaconazol,Posaconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Chống chỉ định phối hợp
